,Unnamed: 0.42,Unnamed: 0.41,Unnamed: 0.40,Unnamed: 0.39,Unnamed: 0.38,Unnamed: 0.37,Unnamed: 0.36,Unnamed: 0.35,Unnamed: 0.34,Unnamed: 0.33,Unnamed: 0.32,Unnamed: 0.31,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,username,nickname,tweet_path,tweet
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,1309331498,hello_daisy110,𝐇𝐢,/hello_daisy110/status/1514775702247469056,"Welcome Leader Ten 

APRIL16 TEN GDC IS COMING
#ลีดเดอร์เตนล์GDCpic.twitter.com/vKxYP6W8H1"
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1498493802100654081,niko20223,にこ＊5/3東4あ15a,/niko20223/status/1514773401000640514,Hello my angel pic.twitter.com/aI4v5Q4bPk
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,1487600779926114306,yinadol,yina,/yinadol/status/1514751982166327300,hello . pic.twitter.com/jtegJhNBtw
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,2782936939,Metanoia100,Cat Woman 🙏 🇺🇦 🇬🇧,/Metanoia100/status/1514612536632434712,"Hello anyone at home? 
#cats #CatsOfTwitterpic.twitter.com/dR9ALUIG1s"
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,296509052,HelloKitty_Plug,MF DOM 🎀,/HelloKitty_Plug/status/1514743265995767811,"i love easter
i only give adults baskets 

fuck them kids bro"
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,931397778101518336,battleguitar,82,/battleguitar/status/1514749871151988737,hello pic.twitter.com/meZRMD2JEb
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,1158857552865693696,fearlesspltnm,fearless (taylor’s version) bot,/fearlesspltnm/status/1514758622512787483,"hello mr. perfectly fine, how's your heart after breaking mine?"
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,25159518,HelloItsAviana,♕,/HelloItsAviana/status/1514777244849238033,Time for a TL cleanse courtesy of one of my local mall pigeons who decided it was bath time! #BirdsSeenIn2022 #BirdTwitterpic.twitter.com/p3nV2O8D2L
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,1432234690669318147,Orangechan01,✨ !Oɾαɳɠҽ-ƈԋαɳ!✨,/Orangechan01/status/1514443849015328770,"hello! I wanted to make this drawing of the two sky as a special of 10,000 followers (◍•ᴗ•◍) pic.twitter.com/kFG2tC21Xf"
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,1065162839134896129,sweettenrr,Andre’a🍑,/sweettenrr/status/1514743289077182464,@Essence hello on the next cover i believe the next family should be Victoria Monét & Mr. Gaines would be the next best option!
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,1449981680589099011,taliasvio,thea mays’ pr manager,/taliasvio/status/1514774635526557696,MY FUCKING GIRLS!! HELLO #Legacies pic.twitter.com/LEPfLKUhBg
